size,thread_count,sum,time
100,1,545,7
100,2,545,181
100,3,545,179
100,4,545,151
100,5,545,135
100,6,545,163
100,7,545,202
100,8,545,165
100,9,545,190
100,10,545,541
100,11,545,281
100,12,545,548
100,16,545,354
100,100,545,2514
100,500,545,12499
100,2000,545,49756
100,1,550,4
100,2,550,77
100,3,550,98
100,4,550,107
100,5,550,78
100,6,550,130
100,7,550,217
100,8,550,163
100,9,550,205
100,10,550,565
100,11,550,217
100,12,550,471
100,16,550,325
100,100,550,2525
100,500,550,12596
100,2000,550,49854
100,1,538,3
100,2,538,103
100,3,538,97
100,4,538,87
100,5,538,84
100,6,538,144
100,7,538,147
100,8,538,189
100,9,538,202
100,10,538,550
100,11,538,218
100,12,538,428
100,16,538,326
100,100,538,2666
100,500,538,12306
100,2000,538,49255
100,1,555,4
100,2,555,75
100,3,555,58
100,4,555,88
100,5,555,80
100,6,555,124
100,7,555,132
100,8,555,163
100,9,555,191
100,10,555,538
100,11,555,217
100,12,555,454
100,16,555,375
100,100,555,2543
100,500,555,13384
100,2000,555,50728
100,1,563,4
100,2,563,106
100,3,563,95
100,4,563,114
100,5,563,99
100,6,563,142
100,7,563,160
100,8,563,186
100,9,563,261
100,10,563,572
100,11,563,233
100,12,563,458
100,16,563,342
100,100,563,2640
100,500,563,12740
100,2000,563,50569
100,1,523,4
100,2,523,78
100,3,523,101
100,4,523,91
100,5,523,78
100,6,523,136
100,7,523,138
100,8,523,152
100,9,523,220
100,10,523,536
100,11,523,225
100,12,523,429
100,16,523,330
100,100,523,3905
100,500,523,12558
100,2000,523,49084
100,1,560,4
100,2,560,103
100,3,560,61
100,4,560,103
100,5,560,85
100,6,560,134
100,7,560,135
100,8,560,154
100,9,560,195
100,10,560,495
100,11,560,211
100,12,560,431
100,16,560,341
100,100,560,2794
100,500,560,12307
100,2000,560,48050
100,1,564,4
100,2,564,77
100,3,564,105
100,4,564,128
100,5,564,104
100,6,564,124
100,7,564,138
100,8,564,156
100,9,564,223
100,10,564,542
100,11,564,245
100,12,564,429
100,16,564,324
100,100,564,2453
100,500,564,12391
100,2000,564,48559
100,1,553,4
100,2,553,75
100,3,553,61
100,4,553,92
100,5,553,111
100,6,553,130
100,7,553,141
100,8,553,158
100,9,553,262
100,10,553,557
100,11,553,224
100,12,553,426
100,16,553,320
100,100,553,2452
100,500,553,12919
100,2000,553,48700
100,1,540,4
100,2,540,81
100,3,540,101
100,4,540,103
100,5,540,85
100,6,540,138
100,7,540,151
100,8,540,204
100,9,540,247
100,10,540,526
100,11,540,228
100,12,540,441
100,16,540,315
100,100,540,2785
100,500,540,12123
100,2000,540,48480
1000,1,5397,17
1000,2,5397,93
1000,3,5397,70
1000,4,5397,116
1000,5,5397,87
1000,6,5397,141
1000,7,5397,139
1000,8,5397,144
1000,9,5397,191
1000,10,5397,595
1000,11,5397,242
1000,12,5397,370
1000,16,5397,320
1000,100,5397,2456
1000,500,5397,12071
1000,2000,5397,48667
1000,1,5397,17
1000,2,5397,90
1000,3,5397,104
1000,4,5397,118
1000,5,5397,90
1000,6,5397,153
1000,7,5397,144
1000,8,5397,164
1000,9,5397,191
1000,10,5397,557
1000,11,5397,276
1000,12,5397,466
1000,16,5397,343
1000,100,5397,2341
1000,500,5397,12194
1000,2000,5397,51646
1000,1,5465,17
1000,2,5465,125
1000,3,5465,99
1000,4,5465,115
1000,5,5465,116
1000,6,5465,127
1000,7,5465,143
1000,8,5465,166
1000,9,5465,188
1000,10,5465,581
1000,11,5465,214
1000,12,5465,457
1000,16,5465,325
